date_from,date_to,term,missing_data,trend_index,trend_index_12w_ma,trend_index_52w_ma,trend_index_12w_ma_prior_year,trend_index_12w_ma_yoy_pct
2022-11-27,2022-12-03,AI Porn,False,3.0,2.5,2.076923076923077,2.0,25.0
2022-11-27,2022-12-03,Best Colleges,False,28.0,34.666666666666664,38.23076923076923,31.75,9.186351706036744
2022-11-27,2022-12-03,Trade School,False,10.0,9.75,9.307692307692308,9.75,0.0
2022-12-04,2022-12-10,AI Porn,False,5.0,2.6666666666666665,2.1346153846153846,2.0,33.33333333333333
2022-12-04,2022-12-10,Best Colleges,False,25.0,32.333333333333336,38.23076923076923,30.166666666666668,7.182320441988943
2022-12-04,2022-12-10,Trade School,False,9.0,9.583333333333334,9.307692307692308,9.583333333333334,0.0
2022-12-11,2022-12-17,AI Porn,False,5.0,2.9166666666666665,2.1923076923076925,2.0,45.83333333333333
2022-12-11,2022-12-17,Best Colleges,False,27.0,31.0,38.26923076923077,29.0,6.896551724137923
2022-12-11,2022-12-17,Trade School,False,9.0,9.5,9.307692307692308,9.5,0.0
2022-12-18,2022-12-24,AI Porn,False,5.0,3.1666666666666665,2.25,2.0,58.33333333333333
2022-12-18,2022-12-24,Best Colleges,False,28.0,30.25,38.34615384615385,28.0,8.03571428571428
2022-12-18,2022-12-24,Trade School,False,7.0,9.25,9.307692307692308,9.333333333333334,-0.8928571428571508
2022-12-25,2022-12-31,AI Porn,False,4.0,3.333333333333333,2.2884615384615383,2.0,66.66666666666667
2022-12-25,2022-12-31,Best Colleges,False,30.0,29.83333333333333,38.46153846153846,27.25,9.480122324159025
2022-12-25,2022-12-31,Trade School,False,6.0,8.916666666666666,9.288461538461538,9.083333333333334,-1.834862385321112
2023-01-01,2023-01-07,AI Porn,False,4.0,3.5,2.326923076923077,2.0,75.0
2023-01-01,2023-01-07,Best Colleges,False,31.0,29.166666666666668,38.46153846153846,27.33333333333333,6.707317073170738
2023-01-01,2023-01-07,Trade School,False,9.0,8.833333333333334,9.288461538461538,9.0,-1.851851851851849
2023-01-08,2023-01-14,AI Porn,False,5.0,3.6666666666666665,2.3846153846153846,2.0,83.33333333333333
2023-01-08,2023-01-14,Best Colleges,False,30.0,28.916666666666668,38.44230769230769,27.33333333333333,5.7926829268292845
2023-01-08,2023-01-14,Trade School,False,10.0,8.833333333333334,9.307692307692308,8.666666666666666,1.9230769230769384
2023-01-15,2023-01-21,AI Porn,False,5.0,3.8333333333333335,2.4423076923076925,2.0,91.66666666666669
2023-01-15,2023-01-21,Best Colleges,False,30.0,28.83333333333333,38.46153846153846,27.33333333333333,5.487804878048785
2023-01-15,2023-01-21,Trade School,False,10.0,8.75,9.326923076923077,8.583333333333334,1.941747572815533
2023-01-22,2023-01-28,AI Porn,False,5.0,4.0,2.5,2.0,100.0
2023-01-22,2023-01-28,Best Colleges,False,30.0,28.58333333333333,38.42307692307692,27.666666666666668,3.3132530120481896
2023-01-22,2023-01-28,Trade School,False,10.0,8.75,9.326923076923077,8.666666666666666,0.961538461538458
2023-01-29,2023-02-04,AI Porn,False,13.0,4.916666666666667,2.7115384615384617,2.0,145.83333333333334
2023-01-29,2023-02-04,Best Colleges,False,31.0,28.666666666666668,38.42307692307692,27.83333333333333,2.9940119760479167
2023-01-29,2023-02-04,Trade School,False,10.0,8.833333333333334,9.326923076923077,8.75,0.952380952380949
2023-02-05,2023-02-11,AI Porn,False,10.0,5.583333333333333,2.8653846153846154,2.0,179.16666666666666
2023-02-05,2023-02-11,Best Colleges,False,31.0,28.83333333333333,38.42307692307692,28.0,2.9761904761904656
2023-02-05,2023-02-11,Trade School,False,11.0,9.0,9.346153846153848,8.833333333333334,1.8867924528301885
2023-02-12,2023-02-18,AI Porn,False,9.0,6.083333333333333,3.0,2.0,204.16666666666663
2023-02-12,2023-02-18,Best Colleges,False,31.0,29.33333333333333,38.42307692307692,28.416666666666668,3.2258064516129004
